ID,Shopify Name,Sawadeekard Name,Before,Change,After
023/198,[ENG] SV01 Scarlet Violet Base Set: 023/198 Arboliva R (Foil),Arboliva R (Foil),0.6,-0.09999999999999998,0.5
023/198,[ENG] SV01 Scarlet Violet Base Set: 023/198 Arboliva R (Reverse Holo),Arboliva R (Reverse Holo),1.0,0.0,1.0
024/198,[ENG] SV01 Scarlet Violet Base Set: 024/198 Toedscool C (Non-Foil),Toedscool C (Non-Foil),0.5,0.0,0.5
024/198,[ENG] SV01 Scarlet Violet Base Set: 024/198 Toedscool C (Reverse Holo),Toedscool C (Reverse Holo),1.0,0.0,1.0
025/198,[ENG] SV01 Scarlet Violet Base Set: 025/198 Toedscool C (Non-Foil),Toedscool C (Non-Foil),0.5,0.0,0.5
025/198,[ENG] SV01 Scarlet Violet Base Set: 025/198 Toedscool C (Reverse Holo),Toedscool C (Reverse Holo),1.0,0.0,1.0
026/198,[ENG] SV01 Scarlet Violet Base Set: 026/198 Toedcruel U (Non-Foil),Toedcruel U (Non-Foil),0.5,0.0,0.5
026/198,[ENG] SV01 Scarlet Violet Base Set: 026/198 Toedcruel U (Reverse Holo),Toedcruel U (Reverse Holo),1.5,-0.5,1.0
027/198,[ENG] SV01 Scarlet Violet Base Set: 027/198 Capsakid C (Non-Foil),Capsakid C (Non-Foil),0.5,0.0,0.5
027/198,[ENG] SV01 Scarlet Violet Base Set: 027/198 Capsakid C (Reverse Holo),Capsakid C (Reverse Holo),1.0,0.0,1.0
028/198,[ENG] SV01 Scarlet Violet Base Set: 028/198 Capsakid C (Non-Foil),Capsakid C (Non-Foil),0.5,0.0,0.5
028/198,[ENG] SV01 Scarlet Violet Base Set: 028/198 Capsakid C (Reverse Holo),Capsakid C (Reverse Holo),1.0,0.0,1.0
029/198,[ENG] SV01 Scarlet Violet Base Set: 029/198 Scovillian U (Non-Foil),Scovillian U (Non-Foil),0.5,0.0,0.5
029/198,[ENG] SV01 Scarlet Violet Base Set: 029/198 Scovillian U (Reverse Holo),Scovillian U (Reverse Holo),1.0,0.0,1.0
030/198,[ENG] SV01 Scarlet Violet Base Set: 030/198 Growlithe C (Non-Foil),Growlithe C (Non-Foil),0.5,0.0,0.5
030/198,[ENG] SV01 Scarlet Violet Base Set: 030/198 Growlithe C (Reverse Holo),Growlithe C (Reverse Holo),1.0,0.0,1.0
031/198,[ENG] SV01 Scarlet Violet Base Set: 031/198 Growlithe C (Non-Foil),Growlithe C (Non-Foil),0.5,0.09999999999999998,0.6
031/198,[ENG] SV01 Scarlet Violet Base Set: 031/198 Growlithe C (Reverse Holo),Growlithe C (Reverse Holo),1.0,0.0,1.0
032/198,[ENG] SV01 Scarlet Violet Base Set: 032/198 Arcanine EX RR (Double Rare),Arcanine EX RR (Double Rare),1.8,0.19999999999999996,2.0
033/198,[ENG] SV01 Scarlet Violet Base Set: 033/198 Houndour C (Non-Foil),Houndour C (Non-Foil),0.5,0.0,0.5
033/198,[ENG] SV01 Scarlet Violet Base Set: 033/198 Houndour C (Reverse Holo),Houndour C (Reverse Holo),1.0,0.0,1.0
034/198,[ENG] SV01 Scarlet Violet Base Set: 034/198 Houndoom C (Non-Foil),Houndoom C (Non-Foil),0.5,0.0,0.5
034/198,[ENG] SV01 Scarlet Violet Base Set: 034/198 Houndoom C (Reverse Holo),Houndoom C (Reverse Holo),1.0,0.0,1.0
035/198,[ENG] SV01 Scarlet Violet Base Set: 035/198 Torkoal U (Non-Foil),Torkoal U (Non-Foil),0.5,0.0,0.5
035/198,[ENG] SV01 Scarlet Violet Base Set: 035/198 Torkoal U (Reverse Holo),Torkoal U (Reverse Holo),1.0,0.0,1.0
036/198,[ENG] SV01 Scarlet Violet Base Set: 036/198 Fuecoco C (Non-Foil),Fuecoco C (Non-Foil),0.5,0.0,0.5
036/198,[ENG] SV01 Scarlet Violet Base Set: 036/198 Fuecoco C (Reverse Holo),Fuecoco C (Reverse Holo),1.0,0.0,1.0
037/198,[ENG] SV01 Scarlet Violet Base Set: 037/198 Crocalor U (Non-Foil),Crocalor U (Non-Foil),0.5,0.0,0.5
037/198,[ENG] SV01 Scarlet Violet Base Set: 037/198 Crocalor U (Reverse Holo),Crocalor U (Reverse Holo),1.5,-0.5,1.0
038/198,[ENG] SV01 Scarlet Violet Base Set: 038/198 Skeledirge R (Foil),Skeledirge R (Foil),0.6,-0.09999999999999998,0.5
038/198,[ENG] SV01 Scarlet Violet Base Set: 038/198 Skeledirge R (Reverse Holo),Skeledirge R (Reverse Holo),1.5,-0.5,1.0
039/198,[ENG] SV01 Scarlet Violet Base Set: 039/198 Charcadet C (Non-Foil),Charcadet C (Non-Foil),0.6,-0.09999999999999998,0.5
039/198,[ENG] SV01 Scarlet Violet Base Set: 039/198 Charcadet C (Reverse Holo),Charcadet C (Reverse Holo),1.0,0.0,1.0
040/198,[ENG] SV01 Scarlet Violet Base Set: 040/198 Charcadet C (Non-Foil),Charcadet C (Non-Foil),0.6,-0.09999999999999998,0.5
040/198,[ENG] SV01 Scarlet Violet Base Set: 040/198 Charcadet C (Reverse Holo),Charcadet C (Reverse Holo),1.0,0.0,1.0
041/198,[ENG] SV01 Scarlet Violet Base Set: 041/198 Armarouge R (Foil),Armarouge R (Foil),0.6,-0.09999999999999998,0.5
041/198,[ENG] SV01 Scarlet Violet Base Set: 041/198 Armarough R (Reverse Holo),Armarough R (Reverse Holo),1.0,0.0,1.0
042/198,[ENG] SV01 Scarlet Violet Base Set: 042/198 Slowpoke C (Non-Foil),Slowpoke C (Non-Foil),0.5,0.0,0.5
042/198,[ENG] SV01 Scarlet Violet Base Set: 042/198 Slowpoke C (Reverse Holo),Slowpoke C (Reverse Holo),1.0,0.0,1.0
043/198,[ENG] SV01 Scarlet Violet Base Set: 043/198 Slowbro R (Foil),Slowbro R (Foil),0.9,-0.4,0.5
043/198,[ENG] SV01 Scarlet Violet Base Set: 043/198 Slowbro R (Reverse Holo),Slowbro R (Reverse Holo),1.0,0.0,1.0
044/198,[ENG] SV01 Scarlet Violet Base Set: 044/198 Magikarp C (Non-Foil),Magikarp C (Non-Foil),0.5,0.0,0.5
