Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Singapore,Price / Singapore,Compare At Price / Singapore,Included / International,Price / International,Compare At Price / International,Status
eng-sv05-temporal-forces-006-162-shroomish-grass-c-common-non-foil,[ENG]	SV05	Temporal Forces:	006/162	Shroomish	[Grass]	[C - Common]	(Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,2,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/14_16eecb4f-f9e4-4e9b-bb6f-0bb38d828cbb.jpg?v=1714696250,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv05-temporal-forces-006-162-shroomish-grass-c-common-reverse-holo,[ENG]	SV05	Temporal Forces:	006/162	Shroomish	[Grass]	[C - Common]	(Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,1,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/15_937c6ca4-f161-4a05-b629-b42bd2bfbf59.jpg?v=1714696282,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv05-temporal-forces-007-162-breloom-grass-c-common-non-foil,[ENG]	SV05	Temporal Forces:	007/162	Breloom	[Grass]	[C - Common]	(Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/16_f5471134-56cc-489a-ab8b-6689da7cdabd.jpg?v=1714696306,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv05-temporal-forces-007-162-breloom-grass-c-common-reverse-holo,[ENG]	SV05	Temporal Forces:	007/162	Breloom	[Grass]	[C - Common]	(Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,1,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/17_2050d378-f79a-4b7b-afee-38d5d6b5f681.jpg?v=1714696333,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv05-temporal-forces-008-162-roselia-grass-c-common-non-foil,[ENG]	SV05	Temporal Forces:	008/162	Roselia	[Grass]	[C - Common]	(Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,2,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/18_999017d0-e7d7-4eed-b9fe-205d6dd86d5e.jpg?v=1714696412,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv05-temporal-forces-008-162-roselia-grass-c-common-reverse-holo,[ENG]	SV05	Temporal Forces:	008/162	Roselia	[Grass]	[C - Common]	(Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/19_0087487c-40ac-42b0-bc73-015c3cda0662.jpg?v=1714696486,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv05-temporal-forces-009-162-roserade-grass-u-uncommon-non-foil,[ENG]	SV05	Temporal Forces:	009/162	Roserade	[Grass]	[U - Uncommon]	(Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Uncommon (U), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,4,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/20_b22087b8-7e7b-48f9-ae4a-a990424a2607.jpg?v=1714696524,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv05-temporal-forces-009-162-roserade-grass-u-uncommon-reverse-holo,[ENG]	SV05	Temporal Forces:	009/162	Roserade	[Grass]	[U - Uncommon]	(Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Uncommon (U), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,1,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/21_db4e2936-378d-4667-9b03-04f156021827.jpg?v=1714696567,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv05-temporal-forces-010-162-turtwig-grass-c-common-non-foil,[ENG]	SV05	Temporal Forces:	010/162	Turtwig	[Grass]	[C - Common]	(Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,5,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/22_235e8faa-a897-4f50-8738-033d04402790.jpg?v=1714696726,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv05-temporal-forces-010-162-turtwig-grass-c-common-reverse-holo,[ENG]	SV05	Temporal Forces:	010/162	Turtwig	[Grass]	[C - Common]	(Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,1,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/23_31f3d160-415f-48b0-bc9e-179641431c37.jpg?v=1714696760,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
