Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Singapore,Price / Singapore,Compare At Price / Singapore,Included / International,Price / International,Compare At Price / International,Status
eng-sv01-scarlet-violet-base-set-001-198-pineco-c-non-foil,[ENG] SV01 Scarlet Violet Base Set: 001/198 Pineco C (Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,1,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/4_020a1f0f-a8ff-40b4-bd09-e106eecb70f3.png?v=1690981820,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv01-scarlet-violet-base-set-001-198-pineco-c-reverse-holo,[ENG] SV01 Scarlet Violet Base Set: 001/198 Pineco C (Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,7,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/5_2464d9d3-6911-4e53-bab7-9626ae9300d7.png?v=1690981883,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv01-scarlet-violet-base-set-002-198-heracross-u-non-foil,[ENG] SV01 Scarlet Violet Base Set: 002/198 Heracross U (Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Uncommon (U), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,21,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/6_564390da-a5d2-435e-8d04-30c84d4f8d60.png?v=1690981897,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv01-scarlet-violet-base-set-002-198-heracross-u-reverse-holo,[ENG] SV01 Scarlet Violet Base Set: 002/198 Heracross U (Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Uncommon (U), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,2,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/7_66e78b14-11de-44c2-befb-5fc23626ab0f.png?v=1690981909,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv01-scarlet-violet-base-set-003-198-shroomish-c-non-foil,[ENG] SV01 Scarlet Violet Base Set: 003/198 Shroomish C (Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,14,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/8_4f1f7490-e0e6-4949-bb1e-02129c8ea68b.png?v=1690981923,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv01-scarlet-violet-base-set-003-198-shroomish-c-reverse-holo,[ENG] SV01 Scarlet Violet Base Set: 003/198 Shroomish C (Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,17,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/9_e785a108-2a05-40b6-8656-bb21641595c1.png?v=1690981935,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv01-scarlet-violet-base-set-004-198-breloom-u-non-foil,[ENG] SV01 Scarlet Violet Base Set: 004/198 Breloom U (Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Uncommon (U), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,23,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/10_921e950a-e495-4520-b26e-aa111838ab57.png?v=1690981948,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv01-scarlet-violet-base-set-004-198-breloom-u-reverse-holo,[ENG] SV01 Scarlet Violet Base Set: 004/198 Breloom U (Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Uncommon (U), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,5,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/11_560d3e28-3cac-461f-bbc4-cdf5cfb820eb.png?v=1690981960,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv01-scarlet-violet-base-set-005-198-cacnea-c-non-foil,[ENG] SV01 Scarlet Violet Base Set: 005/198 Cacnea C (Non-Foil),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Non-Foil, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,19,deny,manual,0.5,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/12_4d847680-5b07-4201-aeb1-5c7de76198d8.png?v=1690981998,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
eng-sv01-scarlet-violet-base-set-005-198-cacnea-c-reverse-holo,[ENG] SV01 Scarlet Violet Base Set: 005/198 Cacnea C (Reverse Holo),,Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,,"Card Type: Reverse Holo, Rarity: Common (C), Type: Grass",True,Title,Default Title,,,,,,,,,100.0,shopify,6,deny,manual,1.0,,True,False,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/13_517dc98e-7bbe-4313-b918-881e5341c641.png?v=1690982011,1,,False,,,,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
