ID,Name,Price in USD,Price in SGD
046/162,Frosmoth [Water] [C - Common] (Reverse Holo),0.35,1.0
047/162,Wiglett [Water] [C - Common] (Non-Foil),0.25,0.5
047/162,Wiglett [Water] [C - Common] (Reverse Holo),0.35,1.0
048/162,Finizen [Water] [C - Common] (Non-Foil),0.25,0.5
048/162,Finizen [Water] [C - Common] (Reverse Holo),0.35,1.0
049/162,Palafin [Water] [U - Uncommon] (Non-Foil),0.25,0.5
049/162,Palafin [Water] [U - Uncommon] (Reverse Holo),0.35,1.0
050/162,Walking Wake ex [Water] [RR - Double Rare] (Foil),1.49,2.0
051/162,Pikachu [Lightning] [C - Common] (Non-Foil),0.35,0.5
051/162,Pikachu [Lightning] [C - Common] (Reverse Holo),0.35,1.0
052/162,Raichu [Lightning] [C - Common] (Non-Foil),0.25,0.5
052/162,Raichu [Lightning] [C - Common] (Reverse Holo),0.35,1.0
053/162,Electabuzz [Lightning] [C - Common] (Non-Foil),0.25,0.5
053/162,Electabuzz [Lightning] [C - Common] (Reverse Holo),0.35,1.0
054/162,Electivire [Lightning] [U - Uncommon] (Non-Foil),0.25,0.5
054/162,Electivire [Lightning] [U - Uncommon] (Reverse Holo),0.35,1.0
055/162,Charjabug [Lightning] [C - Common] (Non-Foil),0.25,0.5
055/162,Charjabug [Lightning] [C - Common] (Reverse Holo),0.35,1.0
056/162,Vikavolt [Lightning] [U - Uncommon] (Non-Foil),0.25,0.5
056/162,Vikavolt [Lightning] [U - Uncommon] (Reverse Holo),0.35,1.0
057/162,Zeraora [Lightning] [U - Uncommon] (Non-Foil),0.25,0.5
057/162,Zeraora [Lightning] [U - Uncommon] (Reverse Holo),0.35,1.0
058/162,Yamper [Lightning] [C - Common] (Non-Foil),0.25,0.5
058/162,Yamper [Lightning] [C - Common] (Reverse Holo),0.35,1.0
059/162,Boltund [Lightning] [U - Uncommon] (Non-Foil),0.25,0.5
059/162,Boltund [Lightning] [U - Uncommon] (Reverse Holo),0.35,1.0
060/162,Wugtrio ex [Lightning] [RR - Double Rare] (Foil),1.49,2.0
061/162,Iron Hands [Lightning] [U - Uncommon] (Non-Foil),0.25,0.5
061/162,Iron Hands [Lightning] [U - Uncommon] (Reverse Holo),0.59,1.0
062/162,Iron Thorns [Lightning] [R - Rare] (Foil),0.59,0.8
062/162,Iron Thorns [Lightning] [R - Rare] (Reverse Holo),0.69,1.0
063/162,Mr. Mime [Psychic] [C - Common] (Non-Foil),0.25,0.5
063/162,Mr. Mime [Psychic] [C - Common] (Reverse Holo),0.35,1.0
064/162,Marill [Psychic] [C - Common] (Non-Foil),0.25,0.5
064/162,Marill [Psychic] [C - Common] (Reverse Holo),0.35,1.0
065/162,Azumarill [Psychic] [C - Common] (Non-Foil),0.25,0.5
065/162,Azumarill [Psychic] [C - Common] (Reverse Holo),0.35,1.0
066/162,Girafarig [Psychic] [C - Common] (Non-Foil),0.25,0.5
066/162,Girafarig [Psychic] [C - Common] (Reverse Holo),0.35,1.0
