ID,Name,Price in USD,Price in SGD
001/197,Oddish C (Non-Foil),0.25,0.5
001/197,Oddish C (Reverse Holo),0.49,1.0
002/197,Gloom C (Non-Foil),0.35,0.5
002/197,Gloom C (Reverse Holo),0.49,1.0
003/197,Bellossom U (Non-Foil),0.35,0.5
003/197,Bellossom U (Reverse Holo),0.59,1.0
004/197,Scyther C (Non-Foil),0.35,0.5
004/197,Scyther C (Reverse Holo),0.35,1.0
005/197,Shuckle C (Non-Foil),0.35,0.5
005/197,Shuckle C (Reverse Holo),0.59,1.0
006/197,Surskit C (Non-Foil),0.25,0.5
006/197,Surskit C (Reverse Holo),0.35,1.0
007/197,Masquerain U (Non-Foil),0.25,0.5
007/197,Masquerain U (Reverse Holo),0.49,1.0
008/197,Combee C (Non-Foil),0.25,0.5
008/197,Combee C (Reverse Holo),0.39,1.0
009/197,Foongus C (Non-Foil),0.25,0.5
009/197,Foongus C (Reverse Holo),0.35,1.0
010/197,Amoonguss U (Non-Foil),0.35,0.5
010/197,Amoonguss U (Reverse Holo),0.49,1.0
011/197,Phantump C (Non-Foil),0.25,0.5
011/197,Phantump C (Reverse Holo),0.35,1.0
012/197,Trevenant U (Non-Foil),0.25,0.5
012/197,Trevenant U (Reverse Holo),0.69,1.0
013/197,Rowlet C (Non-Foil),0.25,0.5
013/197,Rowlet C (Reverse Holo),0.35,1.0
014/197,Dartrix U (Non-Foil),0.25,0.5
014/197,Dartrix U (Reverse Holo),0.39,1.0
015/197,Decidueye ex RR (Foil),1.49,2.0
016/197,Bounsweet C (Non-Foil),0.25,0.5
016/197,Bounsweet C (Reverse Holo),0.35,1.0
017/197,Steenee C (Non-Foil),0.25,0.5
017/197,Steenee C (Reverse Holo),0.35,1.0
018/197,Tsareena U (Non-Foil),0.49,0.7
018/197,Tsareena U (Reverse Holo),0.49,1.0
019/197,Smoliv C (Non-Foil),0.25,0.5
019/197,Smoliv C (Reverse Holo),0.35,1.0
020/197,Dolliv C (Non-Foil),0.35,0.5
020/197,Dolliv C (Reverse Holo),0.49,1.0
021/197,Arboliva U (Non-Foil),0.35,0.5
021/197,Arboliva U (Reverse Holo),0.99,1.3
022/197,Toedscruel ex RR (Foil),1.49,2.0
023/197,Capsakid C (Non-Foil),0.25,0.5
023/197,Capsakid C (Reverse Holo),0.39,1.0
025/197,Scovillain R (Foil),0.25,0.5
025/197,Scovillain R (Reverse Holo),0.49,1.0
026/197,Charmander C (Non-Foil),0.35,0.5
026/197,Charmander C (Reverse Holo),0.69,1.0
027/197,Charmeleon U (Non-Foil),0.49,0.7
027/197,Charmeleon U (Reverse Holo),0.65,1.0
028/197,Vulpix C (Non-Foil),0.25,0.5
028/197,Vulpix C (Reverse Holo),0.59,1.0
029/197,Ninetales U (Non-Foil),0.25,0.5
029/197,Ninetales U (Reverse Holo),0.49,1.0
030/197,Entei R (Foil),0.25,0.5
030/197,Entei R (Reverse Holo),0.49,1.0
031/197,Numel C (Non-Foil),0.35,0.5
031/197,Numel C (Reverse Holo),0.89,1.2
032/197,Camerupt U (Non-Foil),0.25,0.5
032/197,Camerupt U (Reverse Holo),0.35,1.0
033/197,Victini ex RR (Foil),0.25,0.5
034/197,Darumaka C (Non-Foil),1.49,2.0
034/197,Darumaka C (Reverse Holo),0.59,1.0
035/197,Darmanitan U (Non-Foil),0.25,0.5
035/197,Darmanitan U (Reverse Holo),0.39,1.0
036/197,Litwick C (Non-Foil),0.25,0.5
036/197,Litwick C (Reverse Holo),0.35,1.0
037/197,Lampent C (Non-Foil),0.25,0.5
037/197,Lampent C (Reverse Holo),0.35,1.0
038/197,Chandelure U (Non-Foil),0.35,0.5
038/197,Chandelure U (Reverse Holo),0.49,1.0
039/197,Heatmor C (Non-Foil),0.35,0.5
039/197,Heatmor C (Reverse Holo),0.49,1.0
040/197,Larvesta C (Non-Foil),0.35,0.5
040/197,Larvesta C (Reverse Holo),0.35,1.0
041/197,Volcarona U (Non-Foil),0.25,0.5
041/197,Volcarona U (Reverse Holo),0.35,1.0
042/197,Eiscue ex RR (Foil),0.25,0.5
043/197,Charcadet C (Non-Foil),1.49,2.0
043/197,Charcadet C (Reverse Holo),0.49,1.0
044/197,Armarouge U (Non-Foil),0.25,0.5
044/197,Armarouge U (Reverse Holo),0.35,1.0
045/197,Lapras U (Non-Foil),0.25,0.5
045/197,Lapras U (Reverse Holo),0.35,1.0
046/197,Carvanha C (Non-Foil),0.25,0.5
046/197,Carvanha C (Reverse Holo),0.49,1.0
047/197,Sharpedo U (Non-Foil),0.25,0.5
047/197,Sharpedo U (Reverse Holo),0.35,1.0
048/197,Buizel C (Non-Foil),0.25,0.5
048/197,Buizel C (Reverse Holo),0.49,1.0
049/197,Floatzel U (Non-Foil),0.25,0.5
049/197,Floatzel U (Reverse Holo),0.35,1.0
050/197,Tympole C (Non-Foil),0.25,0.5
050/197,Tympole C (Reverse Holo),0.49,1.0
051/197,Palpitoad C (Non-Foil),0.25,0.5
051/197,Palpitoad C (Reverse Holo),0.35,1.0
052/197,Seismitoad C (Non-Foil),0.25,0.5
052/197,Seismitoad C (Reverse Holo),0.39,1.0
053/197,Cubchoo C (Non-Foil),0.49,0.7
053/197,Cubchoo C (Reverse Holo),0.69,1.0
054/197,Beartic U (Non-Foil),0.25,0.5
054/197,Beartic U (Reverse Holo),0.35,1.0
055/197,Cryogonal C (Non-Foil),0.25,0.5
055/197,Cryogonal C (Reverse Holo),0.49,1.0
056/197,Froakie C (Non-Foil),0.25,0.5
056/197,Froakie C (Reverse Holo),0.35,1.0
057/197,Frogadier U (Non-Foil),0.39,0.5
057/197,Frogadier U (Reverse Holo),0.59,1.0
058/197,Wiglett C (Non-Foil),0.25,0.5
058/197,Wiglett C (Reverse Holo),0.79,1.1
059/197,Wugtrio U (Non-Foil),0.25,0.5
059/197,Wugtrio U (Reverse Holo),0.35,1.0
060/197,Finizen C (Non-Foil),0.25,0.5
060/197,Finizen C (Reverse Holo),0.49,1.0
062/197,Palafin R (Foil),0.59,0.8
062/197,Palafin R (Reverse Holo),0.59,1.0
063/197,Magnemite C (Non-Foil),0.35,0.5
063/197,Magnemite C (Reverse Holo),0.49,1.0
064/197,Magneton C (Non-Foil),0.35,0.5
064/197,Magneton C (Reverse Holo),0.35,1.0
065/197,Magnezone U (Non-Foil),0.25,0.5
065/197,Magnezone U (Reverse Holo),0.35,1.0
066/197,Tyranitar ex RR (Foil),0.35,0.5
067/197,Tynamo C (Non-Foil),0.35,0.5
067/197,Tynamo C (Reverse Holo),0.35,1.0
068/197,Eelektrik C (Non-Foil),1.49,2.0
068/197,Eelektrik C (Reverse Holo),0.49,1.0
069/197,Eelektross U (Non-Foil),0.25,0.5
069/197,Eelektross U (Reverse Holo),0.35,1.0
070/197,Thundurus R (Foil),0.25,0.5
070/197,Thundurus R (Reverse Holo),0.49,1.0
071/197,Toxel C (Non-Foil),0.35,0.5
071/197,Toxel C (Reverse Holo),0.35,1.0
072/197,Toxtricity R (Foil),0.35,0.5
072/197,Toxtricity R (Reverse Holo),0.35,1.0
073/197,Pawmot ex RR (Foil),0.35,0.5
074/197,Tadbulb C (Non-Foil),0.35,0.5
074/197,Tadbulb C (Reverse Holo),0.35,1.0
077/197,Bellibolt U (Non-Foil),1.49,2.0
077/197,Bellibolt U (Reverse Holo),0.69,1.0
079/197,Miraidon ex RR (Foil),0.25,0.5
080/197,Cleffa C (Non-Foil),0.25,0.5
080/197,Cleffa C (Reverse Holo),0.69,1.0
081/197,Clefairy C (Non-Foil),0.35,0.5
081/197,Clefairy C (Reverse Holo),0.59,1.0
082/197,Clefable ex RR (Foil),0.35,0.5
083/197,Togepi C (Non-Foil),0.35,0.5
083/197,Togepi C (Reverse Holo),0.59,1.0
084/197,Togetic U (Non-Foil),1.49,2.0
084/197,Togetic U (Reverse Holo),0.35,1.0
085/197,Togekiss R (Foil),0.79,1.1
085/197,Togekiss R (Reverse Holo),0.59,1.0
086/197,Espeon U (Non-Foil),0.25,0.5
086/197,Espeon U (Reverse Holo),0.69,1.0
087/197,Snubbull C (Non-Foil),1.49,2.0
087/197,Snubbull C (Reverse Holo),0.35,1.0
088/197,Granbull U (Non-Foil),0.25,0.5
088/197,Granbull U (Reverse Holo),0.35,1.0
089/197,Mawile C (Non-Foil),0.25,0.5
089/197,Mawile C (Reverse Holo),0.49,1.0
090/197,Spoink C (Non-Foil),0.35,0.5
090/197,Spoink C (Reverse Holo),0.69,1.0
091/197,Grumpig U (Non-Foil),0.25,0.5
091/197,Grumpig U (Reverse Holo),0.89,1.2
092/197,Lunatone U (Non-Foil),0.35,0.5
092/197,Lunatone U (Reverse Holo),0.35,1.0
093/197,Solrock U (Non-Foil),0.25,0.5
093/197,Solrock U (Reverse Holo),0.49,1.0
094/197,Baltoy C (Non-Foil),0.25,0.5
094/197,Baltoy C (Reverse Holo),0.35,1.0
