ID,Name,Price in USD,Price in SGD
071/182,Natu C (Non-Foil),0.35,0.5
071/182,Natu C (Reverse Holo),0.35,1.0
072/182,Xatu R (Foil),0.25,0.5
072/182,Xatu R (Reverse Holo),0.35,1.0
073/182,Latios R (Foil),1.49,2.0
073/182,Latios R (Reverse Holo),0.35,1.0
074/182,Deoxys R (Foil),0.25,0.5
074/182,Deoxys R (Reverse Holo),0.35,1.0
075/182,Yamask C (Non-Foil),17.99,24.2
075/182,Yamask C (Reverse Holo),0.35,1.0
076/182,Cofagrigus ex RR (Foil),0.35,0.5
077/182,Pumpkaboo C (Non-Foil),0.89,1.2
077/182,Pumpkaboo C (Reverse Holo),0.35,1.0
078/182,Gourgeist U (Non-Foil),0.35,0.5
078/182,Gourgeist U (Reverse Holo),0.35,1.0
079/182,Flittle C (Non-Foil),0.35,0.5
079/182,Flittle C (Reverse Holo),0.69,1.0
081/182,Espathra R (Foil),0.25,0.5
081/182,Espathra R (Reverse Holo),0.35,1.0
082/182,Tinkatink C (Non-Foil),1.49,2.0
082/182,Tinkatink C (Reverse Holo),0.35,1.0
084/182,Tinkatuff C (Non-Foil),0.25,0.5
084/182,Tinkatuff C (Reverse Holo),0.35,1.0
085/182,Tinkaton U (Non-Foil),0.25,0.5
085/182,Tinkaton U (Reverse Holo),0.35,1.0
086/182,Scream Tail U (Non-Foil),0.25,0.5
086/182,Scream Tail U (Reverse Holo),0.35,1.0
087/182,Gimmighoul C (Non-Foil),0.35,0.5
087/182,Gimmighoul C (Reverse Holo),0.35,1.0
089/182,Iron Valiant ex RR (Foil),0.35,0.5
090/182,Onix C (Non-Foil),0.25,0.5
090/182,Onix C (Reverse Holo),0.35,1.0
091/182,Gligar C (Non-Foil),0.25,0.5
091/182,Gligar C (Reverse Holo),0.35,1.0
092/182,Gliscor U (Non-Foil),0.25,0.5
092/182,Gliscor U (Reverse Holo),0.35,1.0
093/182,Groudon R (Foil),0.25,0.5
093/182,Groudon R (Reverse Holo),0.35,1.0
094/182,Gible C (Non-Foil),0.35,0.5
094/182,Gible C (Reverse Holo),0.35,1.0
095/182,Gabite C (Non-Foil),0.35,0.5
095/182,Gabite C (Reverse Holo),0.35,1.0
096/182,Mienfoo C (Non-Foil),0.39,0.5
096/182,Mienfoo C (Reverse Holo),0.69,1.0
097/182,Mienshao U (Non-Foil),1.49,2.0
097/182,Mienshao U (Reverse Holo),0.35,1.0
098/182,Hoopa ex RR (Foil),0.25,0.5
099/182,Minior U (Non-Foil),0.25,0.5
099/182,Minior U (Reverse Holo),0.35,1.0
100/182,Toxtricity ex RR (Foil),0.25,0.5
101/182,Nacli C (Non-Foil),0.35,0.5
101/182,Nacli C (Reverse Holo),0.35,1.0
103/182,Naclstack C (Non-Foil),0.35,0.5
103/182,Naclstack C (Reverse Holo),0.35,1.0
104/182,Garganacl R (Foil),0.25,0.5
104/182,Garganacl R (Reverse Holo),0.35,1.0
105/182,Klawf U (Non-Foil),0.25,0.5
105/182,Klawf U (Reverse Holo),0.35,1.0
106/182,Flamigo C (Non-Foil),0.25,0.5
