ID,Name
104/165,Cubone (non-foil)
104/165,Cubone (reverse holo)
105/165,Marowak (non-foil)
105/165,Marowak (reverse holo)
106/165,Hitmonlee (non-foil)
106/165,Hitmonlee (reverse holo)
107/165,Hitmonchan (non-foil)
107/165,Hitmonchan (reverse holo)
108/165,Lickitung (non-foil)
108/165,Lickitung (reverse holo)
109/165,Koffing (non-foil)
109/165,Koffing (reverse holo)
110/165,Weezing (non-foil)
110/165,Weezing (reverse holo)
111/165,Rhyhorn (non-foil)
111/165,Rhyhorn (reverse holo)
112/165,Rhydon (non-foil)
112/165,Rhydon (reverse holo)
113/165,Chansey (non-foil)
113/165,Chansey (reverse holo)
114/165,Tangela (non-foil)
114/165,Tangela (reverse holo)
115/165,Kangaskhan ex
116/165,Horsea (non-foil)
116/165,Horsea (reverse holo)
117/165,Seadra (non-foil)
117/165,Seadra (reverse holo)
118/165,Goldeen (non-foil)
118/165,Goldeen (reverse holo)
119/165,Seaking (non-foil)
119/165,Seaking (reverse holo)
120/165,Staryu (non-foil)
120/165,Staryu (reverse holo)
121/165,Starmie (non-foil)
121/165,Starmie (reverse holo)
122/165,Mr. Mime (non-foil)
122/165,Mr. Mime (reverse holo)
123/165,Scyther (non-foil)
123/165,Scyther (reverse holo)
124/165,Jynx ex
125/165,Electabuzz (non-foil)
125/165,Electabuzz (reverse holo)
126/165,Magmar (non-foil)
126/165,Magmar (reverse holo)
127/165,Pinsir (non-foil)
127/165,Pinsir (reverse holo)
128/165,Tauros (non-foil)
128/165,Tauros (reverse holo)
129/165,Magikarp (non-foil)
129/165,Magikarp (reverse holo)
130/165,Gyarados (non-foil)
130/165,Gyarados (reverse holo)
131/165,Lapras (non-foil)
131/165,Lapras (reverse holo)
132/165,Ditto (non-foil)
132/165,Ditto (reverse holo)
133/165,Eevee (non-foil)
133/165,Eevee (reverse holo)
134/165,Vaporeon (non-foil)
134/165,Vaporeon (reverse holo)
135/165,Jolteon (non-foil)
135/165,Jolteon (reverse holo)
136/165,Flareon (non-foil)
136/165,Flareon (reverse holo)
137/165,Porygon (non-foil)
137/165,Porygon (reverse holo)
138/165,Omanyte (non-foil)
138/165,Omanyte (reverse holo)
139/165,Omastar (non-foil)
139/165,Omastar (reverse holo)
140/165,Kabuto (non-foil)
140/165,Kabuto (reverse holo)
141/165,Kabutops (non-foil)
141/165,Kabutops (reverse holo)
142/165,Aerodactyl (non-foil)
142/165,Aerodactyl (reverse holo)
143/165,Snorlax (non-foil)
143/165,Snorlax (reverse holo)
144/165,Articuno (non-foil)
144/165,Articuno (reverse holo)
145/165,Zapdos ex
146/165,Moltres (non-foil)
146/165,Moltres (reverse holo)
147/165,Dratini (non-foil)
147/165,Dratini (reverse holo)
148/165,Dragonair (non-foil)
148/165,Dragonair (reverse holo)
149/165,Dragonite (non-foil)
149/165,Dragonite (reverse holo)
150/165,Mewtwo (non-foil)
150/165,Mewtwo (reverse holo)
151/165,Mew ex
152/165,Antique Dome Fossil (non-foil)
152/165,Antique Dome Fossil (reverse holo)
153/165,Antique Helix Fossil (non-foil)
153/165,Antique Helix Fossil (reverse holo)
154/165,Antique Old Amber (non-foil)
154/165,Antique Old Amber (reverse holo)
155/165,Big Air Balloon (non-foil)
155/165,Big Air Balloon (reverse holo)
156/165,Bill's Transfer (non-foil)
156/165,Bill's Transfer (reverse holo)
157/165,Cycling Road (non-foil)
157/165,Cycling Road (reverse holo)
158/165,Daisy's Help (non-foil)
158/165,Daisy's Help (reverse holo)
159/165,Energy Sticker (non-foil)
159/165,Energy Sticker (reverse holo)
160/165,Erika's Invitation (non-foil)
160/165,Erika's Invitation (reverse holo)
161/165,Giovanni's Charisma (non-foil)
161/165,Giovanni's Charisma (reverse holo)
162/165,Grabber (non-foil)
162/165,Grabber (reverse holo)
163/165,Leftovers (non-foil)
163/165,Leftovers (reverse holo)
164/165,Protective Goggles (non-foil)
164/165,Protective Goggles (reverse holo)
165/165,Rigid Band (non-foil)
165/165,Rigid Band (reverse holo)
166/165,Bulbasaur
167/165,Ivysaur
168/165,Charmander
169/165,Charmeleon
170/165,Squirtle
171/165,Wartortle
172/165,Caterpie
173/165,Pikachu
174/165,Nidoking
175/165,Psyduck
176/165,Poliwhirl
177/165,Machoke
178/165,Tangela
179/165,Mr. Mime
180/165,Omanyte
181/165,Dragonair
182/165,Venusaur ex
183/165,Charizard ex
184/165,Blastoise ex
185/165,Arbok ex
186/165,Ninetales ex
187/165,Wigglytuff ex
188/165,Alakazam ex
189/165,Golem ex
190/165,Kangaskhan ex
191/165,Jynx ex
192/165,Zapdos ex
193/165,Mew ex
194/165,Bill's Transfer
195/165,Daisy's Help
196/165,Erika's Invitation
197/165,Giovanni's Charisma
198/165,Venusaur ex
199/165,Charizard ex
200/165,Blastoise ex
201/165,Alakazam ex
202/165,Zapdos ex
203/165,Erika's Invitation
204/165,Giovanni's Charisma
205/165,Mew ex
206/165,Switch
207/165,Basic Psychic Energy
