ID,Name,Price in USD,Price in SGD
045/167,Seaking [Water] [C - Common] (Reverse Holo),0.39,1.0
046/167,Jynx [Water] [C - Common] (Non-Foil),0.25,0.5
046/167,Jynx [Water] [C - Common] (Reverse Holo),0.39,1.0
047/167,Corphish [Water] [C - Common] (Non-Foil),0.25,0.5
047/167,Corphish [Water] [C - Common] (Reverse Holo),0.39,1.0
048/167,Crawdaunt [Water] [C - Common] (Non-Foil),0.25,0.5
048/167,Crawdaunt [Water] [C - Common] (Reverse Holo),0.39,1.0
049/167,Feebas [Water] [C - Common] (Non-Foil),0.25,0.5
049/167,Feebas [Water] [C - Common] (Reverse Holo),0.35,1.0
050/167,Milotic [Water] [U - Uncommon] (Non-Foil),0.25,0.5
050/167,Milotic [Water] [U - Uncommon] (Reverse Holo),0.39,1.0
051/167,Snorunt [Water] [C - Common] (Non-Foil),0.25,0.5
051/167,Snorunt [Water] [C - Common] (Reverse Holo),0.75,1.0
052/167,Glalie [Water] [U - Uncommon] (Non-Foil),0.25,0.5
052/167,Glalie [Water] [U - Uncommon] (Reverse Holo),0.49,1.0
053/167,Froslass [Water] [R - Rare] (Foil),0.75,1.0
053/167,Froslass [Water] [R - Rare] (Reverse Holo),0.49,1.0
054/167,Glaceon [Water] [U - Uncommon] (Non-Foil),0.25,0.5
054/167,Glaceon [Water] [U - Uncommon] (Reverse Holo),0.49,1.0
055/167,Phione [Water] [C - Common] (Non-Foil),0.25,0.5
055/167,Phione [Water] [C - Common] (Reverse Holo),0.49,1.0
056/167,Froakie [Water] [C - Common] (Non-Foil),0.25,0.5
056/167,Froakie [Water] [C - Common] (Reverse Holo),0.29,1.0
057/167,Frogadier [Water] [C - Common] (Non-Foil),0.25,0.5
057/167,Frogadier [Water] [C - Common] (Reverse Holo),0.25,1.0
058/167,Cramorant [Water] [U - Uncommon] (Non-Foil),0.25,0.5
058/167,Cramorant [Water] [U - Uncommon] (Reverse Holo),0.49,1.0
059/167,Finizen [Water] [C - Common] (Non-Foil),0.25,0.5
059/167,Finizen [Water] [C - Common] (Reverse Holo),0.49,1.0
060/167,Palafin [Water] [U - Uncommon] (Non-Foil),0.25,0.5
060/167,Palafin [Water] [U - Uncommon] (Reverse Holo),0.39,1.0
061/167,Palafin ex [Water] [RR - Double Rare] (Foil),1.49,2.0
062/167,Iron Bundle [Water] [U - Uncommon] (Non-Foil),0.25,0.5
062/167,Iron Bundle [Water] [U - Uncommon] (Reverse Holo),0.49,1.0
063/167,Walking Wake [Water] [R - Rare] (Foil),0.49,0.7
063/167,Walking Wake [Water] [R - Rare] (Reverse Holo),0.79,1.1
064/167,Wellspring Mask Ogerpon ex [Water] [RR - Double Rare] (Foil),1.49,2.0
065/167,Zapdos [Lightning] [R - Rare] (Foil),0.49,0.7
065/167,Zapdos [Lightning] [R - Rare] (Reverse Holo),0.75,1.0
066/167,Shinx [Lightning] [C - Common] (Non-Foil),0.25,0.5
066/167,Shinx [Lightning] [C - Common] (Reverse Holo),0.49,1.0
067/167,Luxio [Lightning] [C - Common] (Non-Foil),0.25,0.5
067/167,Luxio [Lightning] [C - Common] (Reverse Holo),0.49,1.0
068/167,Luxray ex [Lightning] [RR - Double Rare] (Foil),1.49,2.0
069/167,Emolga [Lightning] [C - Common] (Non-Foil),0.25,0.5
069/167,Emolga [Lightning] [C - Common] (Reverse Holo),0.35,1.0
070/167,Helioptile [Lightning] [C - Common] (Non-Foil),0.25,0.5
070/167,Helioptile [Lightning] [C - Common] (Reverse Holo),0.39,1.0
071/167,Heliolisk [Lightning] [C - Common] (Non-Foil),0.25,0.5
071/167,Heliolisk [Lightning] [C - Common] (Reverse Holo),0.39,1.0
072/167,Morpeko [Lightning] [U - Uncommon] (Non-Foil),0.25,0.5
072/167,Morpeko [Lightning] [U - Uncommon] (Reverse Holo),0.49,1.0
073/167,Tadbulb [Lightning] [C - Common] (Non-Foil),0.25,0.5
073/167,Tadbulb [Lightning] [C - Common] (Reverse Holo),0.49,1.0
074/167,Bellibolt [Lightning] [U - Uncommon] (Non-Foil),0.25,0.5
074/167,Bellibolt [Lightning] [U - Uncommon] (Reverse Holo),0.39,1.0
075/167,Wattrel [Lightning] [C - Common] (Non-Foil),0.25,0.5
