Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Singapore,Price / Singapore,Compare At Price / Singapore,Included / International,Price / International,Compare At Price / International,Status
eng-sv06-twilight-masquerade-216-167-bloodmoon-ursaluna-ex-colorless-sir-special-illustration-rare-foil,[ENG]	SV06	Twilight Masquerade:	216/167	Bloodmoon Ursaluna ex	[Colorless]	[SIR - Special Illustration Rare]	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Special Illustration Rare (SIR), Type: Normal",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,90.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/TwilightMasqueradeSV06SawadeekardPokemonTCGMastersetHoloReverseHoloPlayablesSingaporeLanaEeveeUrsalunaGreninja_367.jpg?v=1716781707,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv06-twilight-masquerade-215-167-cornerstone-mask-ogerpon-ex-fighting-sir-special-illustration-rare-foil,[ENG]	SV06	Twilight Masquerade:	215/167	Cornerstone Mask Ogerpon ex	[Fighting]	[SIR - Special Illustration Rare]	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Special Illustration Rare (SIR), Type: Fighting",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,35.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/TwilightMasqueradeSV06SawadeekardPokemonTCGMastersetHoloReverseHoloPlayablesSingaporeLanaEeveeUrsalunaGreninja_366.jpg?v=1716781689,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv06-twilight-masquerade-214-167-greninja-ex-fighting-sir-special-illustration-rare-foil,[ENG]	SV06	Twilight Masquerade:	214/167	Greninja ex	[Fighting]	[SIR - Special Illustration Rare]	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Special Illustration Rare (SIR), Type: Fighting",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,205.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/TwilightMasqueradeSV06SawadeekardPokemonTCGMastersetHoloReverseHoloPlayablesSingaporeLanaEeveeUrsalunaGreninja_365.jpg?v=1716781644,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv06-twilight-masquerade-213-167-wellspring-mask-ogerpon-ex-water-sir-special-illustration-rare-foil,[ENG]	SV06	Twilight Masquerade:	213/167	Wellspring Mask Ogerpon ex	[Water]	[SIR - Special Illustration Rare]	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Special Illustration Rare (SIR), Type: Water",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,0.50,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/TwilightMasqueradeSV06SawadeekardPokemonTCGMastersetHoloReverseHoloPlayablesSingaporeLanaEeveeUrsalunaGreninja_364.jpg?v=1716781622,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv06-twilight-masquerade-212-167-hearthflame-mask-ogerpon-ex-fire-sir-special-illustration-rare-foil,[ENG]	SV06	Twilight Masquerade:	212/167	Hearthflame Mask Ogerpon ex	[Fire]	[SIR - Special Illustration Rare]	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Special Illustration Rare (SIR), Type: Fire",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,55.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/TwilightMasqueradeSV06SawadeekardPokemonTCGMastersetHoloReverseHoloPlayablesSingaporeLanaEeveeUrsalunaGreninja_363.jpg?v=1716781602,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv06-twilight-masquerade-211-167-teal-mask-ogerpom-ex-grass-sir-special-illustration-rare-foil,[ENG]	SV06	Twilight Masquerade:	211/167	Teal Mask Ogerpon ex	[Grass]	[SIR - Special Illustration Rare]	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Special Illustration Rare (SIR), Type: Grass",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,75.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/TwilightMasqueradeSV06SawadeekardPokemonTCGMastersetHoloReverseHoloPlayablesSingaporeLanaEeveeUrsalunaGreninja_362.jpg?v=1716781587,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv06-twilight-masquerade-210-167-sinistcha-ex-grass-sir-special-illustration-rare-foil,[ENG]	SV06	Twilight Masquerade:	210/167	Sinistcha ex	[Grass]	[SIR - Special Illustration Rare]	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Special Illustration Rare (SIR), Type: Grass",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,35.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/TwilightMasqueradeSV06SawadeekardPokemonTCGMastersetHoloReverseHoloPlayablesSingaporeLanaEeveeUrsalunaGreninja_361.jpg?v=1716781561,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv06-twilight-masquerade-209-167-perrin-supporter-ur-ultra-rare-foil,[ENG]	SV06	Twilight Masquerade:	209/167	Perrin	[Supporter]	[UR - Ultra Rare]	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Others: Supporters (Trainers), Rarity: Ultra Rare (UR)",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,12.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/TwilightMasqueradeSV06SawadeekardPokemonTCGMastersetHoloReverseHoloPlayablesSingaporeLanaEeveeUrsalunaGreninja_360.jpg?v=1716781485,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv06-twilight-masquerade-208-167-lucian-supporter-ur-ultra-rare-foil,[ENG]	SV06	Twilight Masquerade:	208/167	Lucian	[Supporter]	[UR - Ultra Rare]	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Others: Supporters (Trainers), Rarity: Ultra Rare (UR)",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,4.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/TwilightMasqueradeSV06SawadeekardPokemonTCGMastersetHoloReverseHoloPlayablesSingaporeLanaEeveeUrsalunaGreninja_359.jpg?v=1716781469,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv06-twilight-masquerade-207-167-lanas-aid-supporter-ur-ultra-rare-foil,[ENG]	SV06	Twilight Masquerade:	207/167	Lana's Aid	[Supporter]	[UR - Ultra Rare]	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Others: Supporters (Trainers), Rarity: Ultra Rare (UR)",true,Title,Default Title,,,,,,,,,100.0,shopify,1,deny,manual,8.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/TwilightMasqueradeSV06SawadeekardPokemonTCGMastersetHoloReverseHoloPlayablesSingaporeLanaEeveeUrsalunaGreninja_358.jpg?v=1716781457,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv06-twilight-masquerade-206-167-kieran-supporter-ur-ultra-rare-foil,[ENG]	SV06	Twilight Masquerade:	206/167	Kieran	[Supporter]	[UR - Ultra Rare]	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Others: Supporters (Trainers), Rarity: Ultra Rare (UR)",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,9.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/TwilightMasqueradeSV06SawadeekardPokemonTCGMastersetHoloReverseHoloPlayablesSingaporeLanaEeveeUrsalunaGreninja_357.jpg?v=1716781444,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv06-twilight-masquerade-205-167-hassel-supporter-ur-ultra-rare-foil,[ENG]	SV06	Twilight Masquerade:	205/167	Hassel	[Supporter]	[UR - Ultra Rare]	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Others: Supporters (Trainers), Rarity: Ultra Rare (UR)",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,4.50,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/TwilightMasqueradeSV06SawadeekardPokemonTCGMastersetHoloReverseHoloPlayablesSingaporeLanaEeveeUrsalunaGreninja_356.jpg?v=1716781434,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv06-twilight-masquerade-204-167-carmine-supporter-ur-ultra-rare-foil,[ENG]	SV06	Twilight Masquerade:	204/167	Carmine	[Supporter]	[UR - Ultra Rare]	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Others: Supporters (Trainers), Rarity: Ultra Rare (UR)",true,Title,Default Title,,,,,,,,,100.0,shopify,1,deny,manual,20.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/TwilightMasqueradeSV06SawadeekardPokemonTCGMastersetHoloReverseHoloPlayablesSingaporeLanaEeveeUrsalunaGreninja_355.jpg?v=1716781420,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
