ID,Shopify Name,Sawadeekard Name,Before,Change,After
021/197,[ENG]	SV03	Obsidian Flames:	021/197	Arboliva	U	(Reverse Holo),Arboliva U (Non-Foil),1.5,-1.0,0.5
021/197,[ENG]	SV03	Obsidian Flames:	022/197	Toedscruel ex	RR	(Foil),Arboliva U (Reverse Holo),2.0,-0.8,1.2
022/197,[ENG]	SV03	Obsidian Flames:	023/197	Capsakid	C	(Non-Foil),Toedscruel ex RR (Foil),0.5,1.5,2.0
023/197,[ENG]	SV03	Obsidian Flames:	023/197	Capsakid	C	(Reverse Holo),Capsakid C (Non-Foil),1.0,-0.5,0.5
023/197,[ENG]	SV03	Obsidian Flames:	024/197	Capsakid	C	(Non-Foil),Capsakid C (Reverse Holo),0.5,0.5,1.0
024/197,[ENG]	SV03	Obsidian Flames:	024/197	Capsakid	C	(Reverse Holo),Capsakid C (Non-Foil),1.0,-0.5,0.5
024/197,[ENG]	SV03	Obsidian Flames:	025/197	Scovillain	R	(Foil),Capsakid C (Reverse Holo),0.8,0.19999999999999996,1.0
025/197,[ENG]	SV03	Obsidian Flames:	025/197	Scovillain	R	(Reverse Holo),Scovillain R (Foil),1.0,-0.5,0.5
025/197,[ENG]	SV03	Obsidian Flames:	026/197	Charmander	C (Non-Foil),Scovillain R (Reverse Holo),0.5,0.5,1.0
026/197,[ENG]	SV03	Obsidian Flames:	026/197	Charmander	C	(Reverse Holo),Charmander C (Non-Foil),1.0,-0.4,0.6
026/197,[ENG]	SV03	Obsidian Flames:	027/197	Charmeleon	U	(Non-Foil),Charmander C (Reverse Holo),0.5,0.5,1.0
027/197,[ENG]	SV03	Obsidian Flames:	027/197	Charmeleon	U	(Reverse Holo),Charmeleon U (Non-Foil),1.0,-0.5,0.5
027/197,[ENG]	SV03	Obsidian Flames:	028/197	Vulpix	C	(Non-Foil),Charmeleon U (Reverse Holo),0.5,0.5,1.0
028/197,[ENG]	SV03	Obsidian Flames:	028/197	Vulpix	C	(Reverse Holo),Vulpix C (Non-Foil),1.0,-0.5,0.5
028/197,[ENG]	SV03	Obsidian Flames:	029/197	Ninetales	U	(Non-Foil),Vulpix C (Reverse Holo),0.5,0.5,1.0
029/197,[ENG]	SV03	Obsidian Flames:	029/197	Ninetales	U	(Reverse Holo),Ninetales U (Non-Foil),2.0,-1.5,0.5
029/197,[ENG]	SV03	Obsidian Flames:	030/197	Entei	R	(Foil),Ninetales U (Reverse Holo),0.8,0.19999999999999996,1.0
030/197,[ENG]	SV03	Obsidian Flames:	030/197	Entei	R	(Reverse Holo),Entei R (Foil),1.5,-1.0,0.5
030/197,[ENG]	SV03	Obsidian Flames:	031/197	Numel	C	(Non-Foil),Entei R (Reverse Holo),0.5,0.7,1.2
031/197,[ENG]	SV03	Obsidian Flames:	031/197	Numel	C	(Reverse Holo),Numel C (Non-Foil),1.0,-0.5,0.5
031/197,[ENG]	SV03	Obsidian Flames:	032/197	Camerupt	U	(Non-Foil),Numel C (Reverse Holo),0.5,0.5,1.0
032/197,[ENG]	SV03	Obsidian Flames:	032/197	Camerupt	U	(Reverse Holo),Camerupt U (Non-Foil),1.0,-0.5,0.5
032/197,[ENG]	SV03	Obsidian Flames:	033/197	Victini ex	RR	(Foil),Camerupt U (Reverse Holo),2.0,-1.0,1.0
033/197,[ENG]	SV03	Obsidian Flames:	034/197	Darumaka	C	(Non-Foil),Victini ex RR (Foil),0.5,1.5,2.0
034/197,[ENG]	SV03	Obsidian Flames:	034/197	Darumaka	C	(Reverse Holo),Darumaka C (Non-Foil),1.0,-0.5,0.5
034/197,[ENG]	SV03	Obsidian Flames:	035/197	Darmanitan	U	(Non-Foil),Darumaka C (Reverse Holo),0.5,0.5,1.0
035/197,[ENG]	SV03	Obsidian Flames:	035/197	Darmanitan	U	(Reverse Holo),Darmanitan U (Non-Foil),1.0,-0.5,0.5
035/197,[ENG]	SV03	Obsidian Flames:	036/197	Litwick	C	(Non-Foil),Darmanitan U (Reverse Holo),0.5,0.5,1.0
036/197,[ENG]	SV03	Obsidian Flames:	036/197	Litwick	C	(Reverse Holo),Litwick C (Non-Foil),1.5,-1.0,0.5
036/197,[ENG]	SV03	Obsidian Flames:	037/197	Lampent	C	(Non-Foil),Litwick C (Reverse Holo),0.5,0.5,1.0
037/197,[ENG]	SV03	Obsidian Flames:	037/197	Lampent	C	(Reverse Holo),Lampent C (Non-Foil),1.5,-1.0,0.5
037/197,[ENG]	SV03	Obsidian Flames:	038/197	Chandelure	U	(Non-Foil),Lampent C (Reverse Holo),0.5,0.5,1.0
038/197,[ENG]	SV03	Obsidian Flames:	038/197	Chandelure	U	(Reverse Holo),Chandelure U (Non-Foil),1.5,-1.0,0.5
038/197,[ENG]	SV03	Obsidian Flames:	039/197	Heatmor	C	(Non-Foil),Chandelure U (Reverse Holo),0.5,0.5,1.0
039/197,[ENG]	SV03	Obsidian Flames:	039/197	Heatmor	C	(Reverse Holo),Heatmor C (Non-Foil),1.0,-0.5,0.5
039/197,[ENG]	SV03	Obsidian Flames:	040/197	Larvesta	C	(Non-Foil),Heatmor C (Reverse Holo),0.5,0.5,1.0
040/197,[ENG]	SV03	Obsidian Flames:	040/197	Larvesta	C	(Reverse Holo),Larvesta C (Non-Foil),1.0,-0.5,0.5
040/197,[ENG]	SV03	Obsidian Flames:	041/197	Volcarona	U	(Non-Foil),Larvesta C (Reverse Holo),0.5,0.5,1.0
041/197,[ENG]	SV03	Obsidian Flames:	041/197	Volcarona	U	(Reverse Holo),Volcarona U (Non-Foil),1.5,-1.0,0.5
041/197,[ENG]	SV03	Obsidian Flames:	042/197	Eiscue ex	RR	(Foil),Volcarona U (Reverse Holo),2.0,-1.0,1.0
042/197,[ENG]	SV03	Obsidian Flames:	043/197	Charcadet	C	(Non-Foil),Eiscue ex RR (Foil),0.5,1.5,2.0
043/197,[ENG]	SV03	Obsidian Flames:	043/197	Charcadet	C	(Reverse Holo),Charcadet C (Non-Foil),1.0,-0.5,0.5
043/197,[ENG]	SV03	Obsidian Flames:	044/197	Armarouge	U	(Non-Foil),Charcadet C (Reverse Holo),0.5,0.5,1.0
044/197,[ENG]	SV03	Obsidian Flames:	044/197	Armarouge	U	(Reverse Holo),Armarouge U (Non-Foil),1.0,-0.5,0.5
044/197,[ENG]	SV03	Obsidian Flames:	045/197	Lapras	U	(Non-Foil),Armarouge U (Reverse Holo),0.5,0.5,1.0
045/197,[ENG]	SV03	Obsidian Flames:	045/197	Lapras	U	(Reverse Holo),Lapras U (Non-Foil),1.0,-0.5,0.5
045/197,[ENG]	SV03	Obsidian Flames:	046/197	Carvanha	C	(Non-Foil),Lapras U (Reverse Holo),0.5,0.5,1.0
