Before,Change,After
39,-38.5,0.5
8,-7.0,1.0
26,-25.5,0.5
5,-4.0,1.0
9,-8.5,0.5
2,-1.0,1.0
39,-38.5,0.5
4,-3.0,1.0
0,2.0,2.0
34,-33.5,0.5
2,-1.0,1.0
36,-35.5,0.5
5,-4.0,1.0
33,-32.5,0.5
5,-4.0,1.0
29,-28.5,0.5
0,1.0,1.0
40,-39.5,0.5
3,-2.0,1.0
19,-18.5,0.5
4,-3.0,1.0
22,-21.3,0.7
6,-5.0,1.0
19,-18.5,0.5
3,-2.0,1.0
33,-32.3,0.7
3,-1.0,2.0
1,0.0,1.0
21,-20.5,0.5
3,-2.0,1.0
21,-20.5,0.5
0,1.0,1.0
28,-27.5,0.5
3,-2.0,1.0
21,-20.5,0.5
4,-3.0,1.0
18,-17.5,0.5
4,-3.0,1.0
9,-8.5,0.5
2,-1.0,1.0
22,-21.5,0.5
3,-2.5,0.5
20,-19.0,1.0
2,-1.5,0.5
29,-28.0,1.0
3,-2.5,0.5
17,-16.0,1.0
4,-3.5,0.5
20,-19.0,1.0
2,0.0,2.0
0,1.0,1.0
11,-10.5,0.5
2,-1.0,1.0
30,-29.5,0.5
6,-5.0,1.0
34,-33.5,0.5
4,-3.0,1.0
41,-40.5,0.5
6,-5.5,0.5
26,-25.0,1.0
0,0.5,0.5
17,-16.5,0.5
2,-1.0,1.0
17,-16.5,0.5
5,-4.0,1.0
19,-18.5,0.5
8,-7.0,1.0
34,-32.0,2.0
3,-2.0,1.0
0,0.5,0.5
20,-19.0,1.0
3,-2.5,0.5
21,-20.0,1.0
2,0.0,2.0
1,0.0,1.0
15,-14.5,0.5
2,-1.0,1.0
42,-41.5,0.5
4,-3.0,1.0
15,-14.5,0.5
1,-0.5,0.5
43,-42.0,1.0
8,-7.5,0.5
31,-30.0,1.0
2,-1.5,0.5
33,-32.0,1.0
5,-4.5,0.5
37,-36.0,1.0
7,-6.5,0.5
27,-26.0,1.0
2,-1.3,0.7
19,-18.0,1.0
2,-1.5,0.5
19,-18.5,0.5
7,-6.0,1.0
35,-33.0,2.0
4,-3.5,0.5
1,0.0,1.0
22,-21.5,0.5
5,-4.0,1.0
19,-18.5,0.5
4,-3.0,1.0
26,-25.5,0.5
3,-2.0,1.0
12,-11.5,0.5
4,-3.0,1.0
16,-15.5,0.5
5,-4.0,1.0
16,-15.5,0.5
4,-3.0,1.0
29,-28.0,1.0
7,-6.0,1.0
18,-12.0,6.0
7,-6.0,1.0
0,0.5,0.5
36,-34.8,1.2
3,1.0,4.0
1,0.0,1.0
25,-24.5,0.5
0,1.0,1.0
37,-36.5,0.5
8,-7.0,1.0
40,-39.5,0.5
6,-5.5,0.5
28,-27.0,1.0
3,-2.5,0.5
19,-18.0,1.0
3,-2.5,0.5
19,-18.0,1.0
0,0.5,0.5
26,-25.0,1.0
4,-3.5,0.5
17,-16.0,1.0
1,-0.5,0.5
41,-40.5,0.5
4,-3.0,1.0
27,-26.5,0.5
3,-2.0,1.0
44,-43.5,0.5
5,-4.0,1.0
27,-26.5,0.5
7,-6.0,1.0
13,-12.5,0.5
6,-5.0,1.0
17,-16.5,0.5
4,-3.0,1.0
22,-20.0,2.0
2,-1.5,0.5
0,1.0,1.0
14,-13.5,0.5
0,1.0,1.0
23,-22.5,0.5
1,0.0,1.0
34,-33.5,0.5
5,-4.0,1.0
35,-34.5,0.5
9,-8.0,1.0
13,-12.5,0.5
7,-6.0,1.0
42,-40.0,2.0
8,-7.0,1.0
0,0.5,0.5
42,-41.0,1.0
10,-9.5,0.5
31,-30.0,1.0
2,-1.5,0.5
14,-13.0,1.0
4,-3.5,0.5
42,-41.0,1.0
5,-4.5,0.5
31,-30.0,1.0
6,-5.5,0.5
29,-28.0,1.0
5,-3.0,2.0
0,1.0,1.0
32,-31.5,0.5
5,-4.0,1.0
45,-44.5,0.5
9,-8.0,1.0
26,-25.5,0.5
1,0.0,1.0
11,-10.5,0.5
4,-3.0,1.0
16,-15.5,0.5
1,0.0,1.0
13,-12.3,0.7
0,0.7,0.7
15,-14.0,1.0
1,-0.5,0.5
19,-18.0,1.0
2,-1.5,0.5
19,-18.0,1.0
2,-1.5,0.5
13,-12.0,1.0
6,-5.2,0.8
16,-15.0,1.0
1,-0.5,0.5
12,-11.0,1.0
3,-2.5,0.5
36,-35.0,1.0
6,-5.5,0.5
31,-30.5,0.5
4,-3.0,1.0
14,-13.5,0.5
3,-2.5,0.5
28,-27.0,1.0
0,0.5,0.5
44,-43.0,1.0
6,-5.5,0.5
35,-34.0,1.0
8,-7.5,0.5
42,-41.0,1.0
10,-9.5,0.5
14,-13.0,1.0
3,-2.5,0.5
36,-35.0,1.0
7,-6.5,0.5
29,-28.0,1.0
3,-1.0,2.0
43,-42.0,1.0
7,-6.5,0.5
2,-1.0,1.0
25,-24.5,0.5
1,0.0,1.0
36,-35.5,0.5
7,-6.0,1.0
21,-20.5,0.5
2,-1.0,1.0
19,-18.5,0.5
4,-3.0,1.0
28,-27.5,0.5
3,-2.0,1.0
6,-5.3,0.7
2,-1.0,1.0
19,-18.5,0.5
1,0.0,1.0
21,-20.3,0.7
4,-3.0,1.0
11,-9.0,2.0
4,-3.5,0.5
0,1.0,1.0
16,-15.5,0.5
2,-1.0,1.0
11,-9.0,2.0
3,-2.5,0.5
0,1.0,1.0
31,-30.5,0.5
6,-5.0,1.0
19,-18.5,0.5
3,-2.0,1.0
31,-30.5,0.5
6,-5.0,1.0
13,-12.5,0.5
0,1.0,1.0
14,-13.5,0.5
4,-3.0,1.0
9,-8.5,0.5
5,-4.0,1.0
23,-22.5,0.5
2,-1.0,1.0
32,-31.5,0.5
8,-7.0,1.0
22,-21.5,0.5
1,0.0,1.0
14,-13.5,0.5
1,0.0,1.0
13,-12.5,0.5
3,-2.0,1.0
14,-13.5,0.5
2,-1.0,1.0
26,-25.5,0.5
2,-1.0,1.0
11,-10.5,0.5
3,-2.5,0.5
15,-14.0,1.0
3,-2.5,0.5
25,-24.0,1.0
3,-2.5,0.5
20,-19.0,1.0
5,-4.5,0.5
24,-23.0,1.0
1,1.0,2.0
31,-30.0,1.0
6,-5.5,0.5
0,1.0,1.0
12,-11.5,0.5
3,-2.0,1.0
32,-30.0,2.0
9,-8.0,1.0
3,-2.5,0.5
38,-37.0,1.0
9,-8.5,0.5
31,-30.0,1.0
5,-4.5,0.5
34,-33.0,1.0
5,-4.5,0.5
28,-27.0,1.0
4,-3.5,0.5
42,-41.0,1.0
4,-3.5,0.5
28,-27.0,1.0
4,-3.5,0.5
40,-39.0,1.0
9,-8.5,0.5
28,-27.0,1.0
3,-2.5,0.5
13,-12.0,1.0
4,-3.5,0.5
41,-40.0,1.0
5,-4.5,0.5
37,-36.0,1.0
4,-3.5,0.5
24,-23.0,1.0
3,-2.5,0.5
18,-17.0,1.0
2,-1.5,0.5
21,-20.0,1.0
6,-5.5,0.5
30,-29.0,1.0
1,1.0,2.0
1,0.0,1.0
32,-31.5,0.5
4,-3.2,0.8
15,-13.1,1.9
2,-0.7,1.3
10,-9.3,0.7
2,-1.3,0.7
11,-10.5,0.5
6,-5.5,0.5
19,-18.5,0.5
3,-2.5,0.5
19,-18.5,0.5
5,-4.5,0.5
15,-14.5,0.5
6,-5.3,0.7
60,-59.5,0.5
9,-8.3,0.7
26,-25.5,0.5
7,-6.5,0.5
48,-45.3,2.7
9,-7.3,1.7
55,-53.9,1.1
9,-8.5,0.5
23,-22.2,0.8
3,-2.3,0.7
50,-31.2,18.8
8,-0.5999999999999996,7.4
60,-38.5,21.5
6,1.4000000000000004,7.4
47,-39.6,7.4
11,-1.5999999999999996,9.4
39,-31.6,7.4
10,4.800000000000001,14.8
20,-13.3,6.7
4,183.9,187.9
21,-4.899999999999999,16.1
6,3.4000000000000004,9.4
32,-21.3,10.7
5,-0.2999999999999998,4.7
16,-4.6,11.4
14,-8.0,6.0
12,2.8000000000000007,14.8
0,60.4,60.4
24,-12.6,11.4
3,1.0,4.0
19,-14.3,4.7
5,0.40000000000000036,5.4
19,-11.6,7.4
7,3.6999999999999993,10.7
0,8.0,8.0
0,16.1,16.1
0,4.7,4.7
0,6.0,6.0
0,53.7,53.7
0,5.4,5.4
0,6.7,6.7
0,6.7,6.7
0,14.8,14.8
0,4.7,4.7
0,6.0,6.0
0,6.7,6.7
0,2.0,2.0
0,4.0,4.0
0,2.7,2.7
1,2.7,3.7
0,4.7,4.7
0,2.0,2.0
0,8.7,8.7
0,2.7,2.7
0,3.3,3.3
0,4.0,4.0
0,8.0,8.0
0,2.0,2.0
0,4.4,4.4
0,2.4,2.4
0,3.1,3.1
0,2.0,2.0
0,2.5,2.5
0,3.1,3.1
0,12.1,12.1
0,2.7,2.7
0,4.0,4.0
0,2.7,2.7
0,2.3,2.3
0,3.3,3.3
0,24.1,24.1
0,2.0,2.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
1,,1.0
0,,0.0
1,,1.0
2,,2.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
0,,0.0
1,,1.0
0,,0.0
0,,0.0
1,,1.0
0,,0.0
0,,0.0
