Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Singapore,Price / Singapore,Compare At Price / Singapore,Included / International,Price / International,Compare At Price / International,Status
eng-sv03-obsidian-flames-220-197-poppy-sr-foil,[ENG]	SV03	Obsidian Flames:	220/197	Poppy	SR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Others: Supporters (Trainers), Rarity: Super Rare (SR)",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,6.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/62_ae5a3222-83b0-4fde-81f4-223a7243a721.jpg?v=1703162921,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-219-197-ortega-sr-foil,[ENG]	SV03	Obsidian Flames:	219/197	Ortega	SR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Others: Supporters (Trainers), Rarity: Super Rare (SR)",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,4.50,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/61_1c3327cc-f3a8-403b-8732-3be445085d3f.jpg?v=1703162894,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-218-197-geeta-sr-foil,[ENG]	SV03	Obsidian Flames:	218/197	Geeta	SR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Others: Supporters (Trainers), Rarity: Super Rare (SR)",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,6.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/60_fc6d3ed8-0984-40b4-8656-dffb13e8e7da.jpg?v=1703162856,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-217-197-pidgeot-ex-sr-foil,[ENG]	SV03	Obsidian Flames:	217/197	Pidgeot ex	SR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Super Rare (SR), Type: Normal",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,10.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/59_198e3660-6636-44cf-a1b9-d18acc12cf5e.jpg?v=1703000722,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-216-197-revavroom-ex-sr-foil,[ENG]	SV03	Obsidian Flames:	216/197	Revavroom ex	SR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Super Rare (SR), Type: Metal",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,4.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/58_9bdad344-1884-4cbb-aedb-9b93c42ece11.jpg?v=1703000647,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-215-197-charizard-ex-sr-foil,[ENG]	SV03	Obsidian Flames:	215/197	Charizard ex	SR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Super Rare (SR), Type: Dark",true,Title,Default Title,,,,,,,,,100.0,shopify,1,deny,manual,30.00,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/57_ffb8c10d-738d-4c5f-a812-bf021aaab457.jpg?v=1703000601,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-214-197-absol-ex-sr-foil,[ENG]	SV03	Obsidian Flames:	214/197	Absol ex	SR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Super Rare (SR), Type: Dark",true,Title,Default Title,,,,,,,,,100.0,shopify,2,deny,manual,4.50,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/56_74abdb5a-a8af-4d47-972f-7c922da7e15b.jpg?v=1703000561,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-213-197-glimmora-ex-sr-foil,[ENG]	SV03	Obsidian Flames:	213/197	Glimmora ex	SR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Super Rare (SR), Type: Fighting",true,Title,Default Title,,,,,,,,,100.0,shopify,0,deny,manual,4.50,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/55_08c2280d-46e6-4584-85a9-e5a9ce210bd3.jpg?v=1703000516,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-212-197-vespiquen-ex-sr-foil,[ENG]	SV03	Obsidian Flames:	212/197	Vespiquen ex	SR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Super Rare (SR), Type: Psychic",true,Title,Default Title,,,,,,,,,100.0,shopify,1,deny,manual,4.50,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/54_b9851b2c-960d-45f2-a311-e9826e61fce0.jpg?v=1702999623,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eng-sv03-obsidian-flames-211-197-tyranitar-ex-sr-foil,[ENG]	SV03	Obsidian Flames:	211/197	Tyranitar ex	SR	(Foil),"",Sawadeekard,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"","Card Type: Foil, Rarity: Super Rare (SR), Type: Electric",true,Title,Default Title,,,,,,,,,100.0,shopify,1,deny,manual,8.50,,true,false,,https://cdn.shopify.com/s/files/1/0790/3071/4677/files/53_fc91cc4f-9038-421f-8f1d-740652f6ae49.jpg?v=1702999588,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
