ID,Name,Price in USD,Price in SGD
045/091,Mankey [Fighting] [C - Common] (Non-Foil),0.25,0.5
045/091,Mankey [Fighting] [C - Common] (Reverse Holo),0.35,1.0
046/091,Primeape [Fighting] [U - Uncommon] (Non-Foil),0.25,0.5
046/091,Primeape [Fighting] [U - Uncommon] (Reverse Holo),0.35,1.0
047/091,Annihilape [Fighting] [R - Rare] (Foil),0.35,0.5
047/091,Annihilape [Fighting] [R - Rare] (Reverse Holo),0.35,1.0
048/091,Phanpy [Fighting] [C - Common] (Non-Foil),0.25,0.5
048/091,Phanpy [Fighting] [C - Common] (Reverse Holo),0.35,1.0
049/091,Donphan [Fighting] [U - Uncommon] (Non-Foil),0.25,0.5
049/091,Donphan [Fighting] [U - Uncommon] (Reverse Holo),0.39,1.0
050/091,Barboach [Fighting] [C - Common] (Non-Foil),0.25,0.5
050/091,Barboach [Fighting] [C - Common] (Reverse Holo),0.35,1.0
051/091,Clobbopus [Fighting] [C - Common] (Non-Foil),0.25,0.5
051/091,Clobbopus [Fighting] [C - Common] (Reverse Holo),0.35,1.0
052/091,Grapploct [Fighting] [U - Uncommon] (Non-Foil),0.25,0.5
052/091,Grapploct [Fighting] [U - Uncommon] (Reverse Holo),0.39,1.0
053/091,Great Tusk ex [Fighting] [RR - Double Rare] (Foil),1.49,2.0
054/091,Charizard ex [Darkness] [RR - Double Rare] (Foil),3.99,5.4
055/091,Gastly [Darkness] [C - Common] (Non-Foil),0.25,0.5
055/091,Gastly [Darkness] [C - Common] (Reverse Holo),0.49,1.0
056/091,Haunter [Darkness] [C - Common] (Non-Foil),0.25,0.5
056/091,Haunter [Darkness] [C - Common] (Reverse Holo),0.39,1.0
057/091,Gengar [Darkness] [U - Uncommon] (Non-Foil),0.49,0.7
057/091,Gengar [Darkness] [U - Uncommon] (Reverse Holo),0.99,1.3
058/091,Paldean Wooper [Darkness] [C - Common] (Non-Foil),0.25,0.5
058/091,Paldean Wooper [Darkness] [C - Common] (Reverse Holo),0.35,1.0
059/091,Paldean Clodsire ex [Darkness] [RR - Double Rare] (Foil),1.49,2.0
060/091,Scraggy [Darkness] [C - Common] (Non-Foil),0.25,0.5
060/091,Scraggy [Darkness] [C - Common] (Reverse Holo),0.35,1.0
061/091,Scrafty [Darkness] [U - Uncommon] (Non-Foil),0.25,0.5
061/091,Scrafty [Darkness] [U - Uncommon] (Reverse Holo),0.39,1.0
062/091,Maschiff [Darkness] [C - Common] (Non-Foil),0.25,0.5
062/091,Maschiff [Darkness] [C - Common] (Reverse Holo),0.35,1.0
063/091,Mabosstiff [Darkness] [R - Rare] (Foil),0.35,0.5
063/091,Mabosstiff [Darkness] [R - Rare] (Reverse Holo),0.49,1.0
064/091,Varoom [Metal] [C - Common] (Non-Foil),0.25,0.5
064/091,Varoom [Metal] [C - Common] (Reverse Holo),0.35,1.0
065/091,Revavroom [Metal] [R - Rare] (Foil),0.35,0.5
065/091,Revavroom [Metal] [R - Rare] (Reverse Holo),0.35,1.0
066/091,Iron Threads ex [Metal] [RR - Double Rare] (Foil),1.49,2.0
067/091,Gholdengo [Metal] [R - Rare] (Foil),0.39,0.5
067/091,Gholdengo [Metal] [R - Rare] (Reverse Holo),0.35,1.0
068/091,Noibat [Dragon] [C - Common] (Non-Foil),0.25,0.5
068/091,Noibat [Dragon] [C - Common] (Reverse Holo),0.49,1.0
069/091,Noivern ex [Dragon] [RR - Double Rare] (Foil),1.49,2.0
070/091,Cyclizar [Dragon] [R - Rare] (Foil),0.35,0.5
070/091,Cyclizar [Dragon] [R - Rare] (Reverse Holo),0.35,1.0
